101 Ahmet 200  
102 Ayşe 150  
103 Mehmet 350  
104 Zeynep 180  
105 Ali 190  
106 Elif 170  
107 Fatma 220  
108 Hasan 210  
109 Hüseyin 160  
110 Emine 230  
111 Mustafa 140  
112 Hatice 195  
113 İsmail 175  
114 Gül 185  
115 Sinan 200  
116 Nuriye 155  
117 Mahmut 165  
118 Selma 180  
119 Yasin 225  
120 Ebru 205  
121 Can 190  
122 Burcu 210  
123 Kemal 230  
124 Sema 240  
125 Orhan 215  
126 Perihan 170  
127 Erhan 175  
128 Özlem 185  
129 Bahar 160  
130 Murat 190  
131 Filiz 180  
132 Erdal 220  
133 Cansu 200  
134 Kadir 210  
135 Zehra 230
